T=10000,,T=14000,,T=20000,,T=30000,
log 10 r,log10 ?(S/m),log 10 r,log10 ?(S/m),log 10 r,log10 ?(S/m),log 10 r,log10 ?(S/m)
0.598167929,3.717431426,0.51062566,3.587140404,,,,
0.605216688,3.600269793,0.524222676,4.113519606,,,,
0.624939661,3.903981978,0.556855514,4.36014587,,,,
0.627989605,3.557237154,0.565641278,3.889904549,,,,
0.646628152,3.720409538,0.569908649,3.997817876,,,,
0.674619862,3.935781309,0.551416708,3.777045394,,,,
0.672044354,3.818789995,0.575347456,4.105400016,,,,
0.691699549,4.107070211,0.605804772,4.355746354,,,,
0.696308354,3.76049725,0.614590536,4.205880787,,,,
0.722537873,3.936448635,0.597646562,3.870778406,,,,
0.701188264,3.860806524,0.616682384,4.012994628,,,,
0.738934582,4.175546927,0.622121191,4.132482722,,,,
0.73846536,4.059638801,0.657473432,4.33998099,,,,
0.744023036,4.314314972,0.667671194,4.26967679,,,,
0.760585157,4.552883957,0.665631642,4.013440847,,,,
0.768422589,3.973601742,0.671070448,4.127142116,,,,
0.786506964,4.134162615,0.702029808,4.456598213,,,,
0.789174532,4.323838309,0.707164345,4.628447786,,,,
0.78523117,4.232430488,0.702494663,4.333191674,,,,
0.809384263,4.509607348,0.692825674,4.019134598,,,,
0.819932757,4.026431525,0.744494335,4.472316058,,,,
0.833352511,4.126276212,0.753932263,4.737413963,,,,
0.841982723,4.310977122,0.75166367,4.613058436,,,,
0.835385807,4.210798477,0.744494335,4.361932367,,,,
0.85916921,4.479799184,0.790724189,4.87838858,,,,
0.888974455,4.374856991,0.801601802,5.00059365,,,,
0.888251506,4.261417992,0.80051404,4.750297891,,,,
0.908390819,4.549471996,0.779846576,4.682533007,,,,
0.936557692,4.446626462,0.839673446,4.857932085,,,,
0.926206366,4.327757897,0.854012118,4.994965009,,,,
0.955640748,4.599144998,0.897324794,5.00585645,,,,
0.973337127,4.890700886,1.184828467,5.484738646,,,,
0.996693964,5.251201624,1.223109297,5.491776409,,,,
0.995215204,4.599041832,0.111296296,4.136224794,,,,
1.012960333,4.974014898,0.076672998,4.166149217,,,,
0.996693964,4.777666658,0.145919595,4.206769765,,,,
1.014509511,4.890077644,0.160758151,4.026017599,,,,
1.046971832,5.242862688,0.160758151,3.86526657,,,,
1.068537093,4.964698349,0.160758151,3.915501266,,,,
1.096325473,5.227555686,0.239897119,3.805479552,,,,
1.110558546,5.161756871,0.19538145,3.835342147,,,,
1.115980669,4.989230028,0.19538145,3.825295208,,,,
1.144367077,5.292237068,0.561399177,3.968239969,,,,
1.153935529,5.160775945,0.581183919,4.048739138,,,,
1.17365234,5.431501919,0.610861032,4.129300135,,,,
1.188275641,5.314083906,0.64548433,4.27017368,,,,
1.206607581,5.470193903,0.685053814,4.41107814,,,,
1.239210736,5.404036511,0.714730928,4.531826893,,,,
1.254984184,5.515251044,0.759246597,4.652668388,,,,
1.294308268,5.570845233,0.793869896,4.803588873,,,,
1.281355418,5.479171191,0.823547009,4.864055991,,,,
