T(K),log10(rho),log10(con),Z,Znuc
18000,-1.18243,4.04403,1.11578,26
20000,-1.33301,4.10667,1.20758,26
22000,-1.4832,4.19371,1.3105,26
26000,-1.63376,4.27807,1.49351,26
28000,-1.78383,4.3108,1.61394,26
28000,-1.93442,4.31033,1.6693,26
28000,-2.0846,4.2897,1.72769,26
24000,-2.23508,4.27012,1.62748,26
20000,-2.3851,4.1564,1.50729,26
6000,0.631939,5.72723,3.12746,26
8000,0.480585,5.59605,2.6279,26
10000,0.296898,5.37309,2.13506,26
12000,-0.00240831,4.71011,1.56162,26
14000,-0.31248,4.14897,1.23042,26
14000,-0.469993,3.95318,1.1174,26
14000,-0.623405,3.85327,1.04334,26
14000,-0.774406,3.77909,0.99815,26
14000,-0.929187,3.76886,0.974088,26
14000,-1.08255,3.80611,0.96727,26
16000,-1.23456,3.89304,1.04901,26
18000,-1.38616,3.98918,1.14435,26
22000,-1.53655,4.1036,1.32375,26
26000,-1.68698,4.21972,1.51039,26
28000,-1.83744,4.24383,1.63325,26
28000,-1.98801,4.24165,1.68979,26
26000,-2.13847,4.25161,1.6715,26
22000,-2.28904,4.17272,1.56243,26
20000,-2.44009,3.93762,1.52695,26
4000,0.729985,5.80651,3.49534,26
8000,0.483082,5.61094,2.63571,26
10000,0.289464,5.36471,2.11673,26
12000,-0.0584538,4.60149,1.47714,26
12000,-0.209968,4.2828,1.28575,26
12000,-0.656848,3.7102,0.970616,26
12000,-0.809752,3.61321,0.924655,26
14000,-1.07309,3.66361,0.967283,26
16000,-1.25964,3.78725,1.05161,26
18000,-1.41139,3.92598,1.14885,26
22000,-1.56177,4.1213,1.33025,26
24000,-1.71265,4.21635,1.44639,26
26000,-1.8636,4.2448,1.5699,26
26000,-2.01368,4.23442,1.62414,26
24000,-2.16431,4.2502,1.60091,26
22000,-2.31515,4.10449,1.57201,26
18000,-2.46597,3.86917,1.44018,26
4000,0.733035,5.80649,3.50781,26
8000,0.467687,5.576,2.58789,26
10000,0.242104,5.29873,2.00407,26
10000,0.0797166,4.96921,1.6688,26
12000,-0.170786,4.35576,1.33035,26
12000,-0.330014,4.02898,1.16838,26
12000,-0.481157,3.77517,1.0573,26
12000,-0.636294,3.60228,0.97872,26
12000,-1.01278,3.40483,0.895526,26
12000,-1.16374,3.55919,0.891423,26
14000,-1.31596,3.74414,0.98035,26
18000,-1.46635,3.98462,1.15924,26
22000,-1.61708,4.15097,1.34496,26
24000,-1.76777,4.23012,1.46365,26
26000,-1.91793,4.25892,1.58918,26
24000,-2.06803,4.26607,1.56569,26
22000,-2.21824,4.2222,1.53681,26
18000,-2.36856,4.04206,1.40745,26
4000,0.727402,5.79126,3.48482,26
6000,0.56916,5.6532,2.90272,26
8000,0.413625,5.52093,2.42649,26
10000,0.15842,5.15965,1.82174,26
10000,0.00293027,4.83516,1.53581,26
10000,-0.605076,3.48686,0.931138,26
4000,0.721206,5.77684,3.45966,26
6000,0.570207,5.6553,2.90635,26
8000,0.412989,5.5241,2.42465,26
10000,0.0706658,5.02247,1.65231,26
