T(K),log10(rho),log10(con),Z
6000,0.567676,5.80334,2.82526
8000,0.230278,5.08628,1.90076
8000,-0.53334,3.49568,0.898981
4000,0.748226,6.19738,3.48813
6000,0.500232,5.6854,2.60387
4000,0.74622,6.14446,3.4799
6000,0.473789,5.6893,2.52149
8000,-0.25168,4.22889,1.12759
8000,-0.40179,3.50542,0.989674
4000,0.744717,6.28581,3.47374
6000,0.476198,5.77216,2.52889
8000,-0.0140843,4.57323,1.43743
8000,-0.16698,4.10554,1.22407
4000,0.746572,6.22235,3.48134
6000,0.492766,5.7467,2.58036
8000,-0.0474158,4.37502,1.38632
4000,0.751111,6.23794,3.5
6000,0.545362,5.78992,2.7502
8000,0.18497,5.05424,1.80227
10000,-0.0325082,4.53957,1.44711
10000,-0.189257,4.2174,1.24279
10000,-0.441375,3.76626,1.01747
10000,-0.596536,3.45362,0.92949
4000,0.753552,6.20277,3.51006
6000,0.504074,5.76334,2.61604
8000,0.0422407,4.88471,1.53003
10000,-0.213625,4.29037,1.21582
10000,-0.371305,3.95775,1.06888
10000,-0.52204,3.6248,0.967585
6000,0.651466,6.03091,3.1235
8000,0.470002,5.7057,2.52964
10000,0.329548,5.47022,2.16247
12000,0.207036,5.26659,1.90593
14000,0.00439876,4.90002,1.57495
16000,-0.133081,4.64905,1.43275
18000,-0.271987,4.44017,1.3413
18000,-0.507156,4.17918,1.19931
18000,-0.658961,4.07628,1.14921
16000,-0.86094,3.94161,1.05501
16000,-1.01233,3.92221,1.04905
14000,-1.26225,3.86445,0.988292
4000,0.777909,6.3095,3.61175
6000,0.652414,6.00617,3.12702
8000,0.479462,5.74688,2.55843
10000,0.333929,5.48945,2.17353
12000,0.217563,5.27711,1.92817
14000,-0.00832656,4.86054,1.55614
16000,-0.167121,4.58653,1.39566
18000,-0.349459,4.34805,1.28451
18000,-0.50379,4.18924,1.20075
16000,-0.790217,3.98367,1.06346
16000,-0.941005,3.91913,1.04998
14000,-1.15646,3.85643,0.980251
14000,-1.30698,3.85842,0.992982
