Gauassian,,MQ,,IMQ,,C0 Matern,,C2 Matern,,C4 Matern,
?,GCV,?,GCV,?,GCV,?,GCV,?,GCV,?,GCV
2.51151486,9.76E-10,20.76852279,0.000333222,7.910867772,0.002208695,,,,,,
2.934475346,2.21E-10,25.09786215,0.00040436,8.922696795,0.003363129,,,,,,
3.364315916,2.51E-09,30.32946132,0.000498844,12.75919592,0.01145106,,,,,,
3.663645755,1.81E-08,36.65157688,0.000615405,15.47076314,0.016991065,,,,,,
4.024049504,1.35E-07,44.29329452,0.000693372,18.69119919,0.035824412,,,,,,
4.496151351,1.31208E-06,53.5292541,0.000749665,22.58438884,0.059468877,,,,,,
4.897308304,5.6133E-06,64.69131463,0.000803872,27.05436459,0.100132439,,,,,,
5.663142867,6.57436E-05,78.18148529,0.0008479,34.72076368,0.162334012,,,,,,
6.38356748,0.000402207,92.07488609,0.00090508,41.95549418,0.232307336,,,,,,
7.640782265,0.004322491,,,50.69827064,0.324319789,,,,,,
9.226615035,0.028908584,,,61.2664463,0.396815502,,,,,,
10.99591288,0.113887843,,,74.03516309,0.522916615,,,,,,
13.45962526,0.500958776,,,87.18761607,0.621336599,,,,,,
16.26035421,1.225230285,,,,,,,,,,
19.64601001,2.339939818,,,,,,,,,,
23.73893946,3.576891449,,,,,,,,,,
28.68779493,4.23445094,,,,,,,,,,
34.66720471,5.399046665,,,,,,,,,,
41.89534031,6.033116526,,,,,,,,,,
49.34193849,6.010259318,,,,,,,,,,
