approx y2,,Gaussian Function 1,,Gaussian Function 2,,Gaussian Function 3,,Gaussian Function 4,,Gaussian Function 5,,Gaussian Function 6,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,-0.8057451534278535,0.2132207114974367,0.11110059875383627,0.8721266221029698,-1.0726749293794846,1.5625976999089848,-0.9450128626200085,-0.19344396287643084,-0.9450128626200085,-0.9062805263354003,-1.4034357387108538,-1.631949199430648
,,-0.6780830866683774,0.2839986068593805,0.32928667648821364,0.581830595339726,-0.9682241474853681,1.7926780208126933,-0.8173507958605333,-0.26394370879212703,-0.8173507958605333,-0.8114678455278823,-1.3512103477637956,-1.7427090090733697
,,-0.5504210199089012,0.37529400199193574,0.4961969158382056,0.4209283331088516,-0.8579705443749113,2.139853504647996,-0.6948467924044701,-0.3327437232582722,-0.6896887291010572,-0.7011400267985874,-1.2351539234369993,-2.0295859829561684
,,-0.4517730592311251,0.4529460713114606,0.6913827203878178,0.261125302213602,-0.7327954009938669,2.241015374383399,-0.562026662341581,-0.4195985576025305,-0.5591252517334118,-0.6116198022242325,-1.148111605191902,-2.229805019487665
,,-0.26608278030825083,0.6407991053908586,0.9060871053923902,0.13600993391235328,-0.6374633381539985,2.3871398766025527,-0.45757588044746456,-0.4901037955831353,-0.45757588044746456,-0.5149760299989379,-1.0842805718121644,-2.3665872055960837
,,-0.13261789233243526,0.7997952482929578,1.0944853675495558,0.04274829641921274,-0.5388153774762223,2.5301385543184782,-0.2718856015245912,-0.7107109137398235,-0.26672753822117734,-0.36048667293345327,-1.0146467172160865,-2.512926102935157
,,-0.010758646789299497,0.9628167747094052,1.3122845905361773,-0.0196437612461704,-0.4517730592311251,2.634640213586515,-0.13261789233243526,-0.8705302207876975,-0.10166951251195666,-0.2567956287055577,-0.939210041403669,-2.6524244606677994
,,0.11110059875383627,1.1322103572904392,1.5211861543244103,-0.0893359197791046,-0.26608278030825083,2.777139802934875,-0.010758646789299497,-0.9883639555169679,0.18537671032298597,-0.17933179293958812,-0.8463649019422315,-2.815464972898033
,,0.29911200616324596,1.4173591341370821,1.7300877181126433,-0.09752815218555799,-0.13261789233243526,2.795268654554745,0.11637589076869048,-1.0742135045593755,0.32000216254206926,-0.2236296488529983,-0.7303084776154369,-2.963272379288029
,,0.42445294443618575,1.6045815264056307,1.9157779970355167,-0.15924188997583544,-0.010758646789299497,2.7529728169401357,0.29911200616324596,-1.3016980973682828,0.4430219723284736,-0.3066752926559375,-0.6084492320723003,-3.0563343734779242
,,0.5624311378024887,1.7992584056689922,2.105485613723549,-0.1777795124126227,0.11110059875383627,2.6547391101096482,0.5593685377160869,-1.4162555062240139,0.5766158118868745,-0.39876139459850046,-0.48078716531282506,-3.0781783342233138
