y2,,approx y2,,Gaussian functions,
X,Y,X,Y,X,Y
2.800352290382273,-17.383373892383297,2.304222536688666,12.02653404078956,-1.9248295448922859,-3.4548331759730786
2.892531641811722,-16.597428157289308,2.3329005571333816,10.040514723156797,-1.8999752605068645,5.9309432306280705
2.9236677782945577,-14.097912058523214,2.35440907246692,9.165743560419703,-1.8770328441510902,0.024268939746541207
2.958081402828217,-11.297978253256893,2.3730497857559865,7.364282326449391,-1.8540904277953172,4.969946408861826
2.99823063145082,-7.558567933084191,2.4476126389122506,1.5584191611590796,-1.8024699909948256,-2.949560499474721
2.9810238191839886,-9.055652335802321,2.504968679801685,-2.380771907427828,-1.768056366461166,2.689796406867117
3.029776453940009,-4.801424110249677,2.5193076900240445,-4.664150380250312,-1.7090615815463184,0.2642341368521244
3.0842646927849717,6.350882325562857,2.5613687866762955,-7.390678954064086,-1.653344284682297,-1.2421242303753957
3.0670578805181403,0.8656764052713655,2.54511790842429,-6.173885291027787,-1.5959882437928625,0.2382192380862591
3.078529088696028,3.0751738719929946,2.613945157491612,-11.102129017673086,-1.5170393404509355,-0.7445968852839826
3.124413921407575,7.61192303089139,2.6958823587622316,-12.778138672056784,-1.389506496590899,0.12645235852991732
3.1817699622970093,16.306466841314393,2.79060176343107,-11.952584697491524,-1.389506496590899,-1.8205472590504215
3.2161835868306703,20.721179802922926,2.837633716960406,-10.760947618984282,-1.2071142865624989,0.2890783122116076
3.2047123786527827,18.939879519674477,2.883518549671951,-8.116830011037358,-1.1957705362532547,-1.8847768365713904
3.2864447369202274,25.105890287769796,2.917932174205612,-5.927671910530705,-1.079783875787954,0.5012083091047117
3.313688856342708,23.3802843122914,2.9466101946503294,-4.080001063843916,-1.0683126676100674,-1.3128740831901666
3.381082204387793,25.134956083192606,2.9810238191839886,-2.173911887126131,-0.945406865704137,0.4050585779066225
3.4025907197213314,23.215160773414553,3.0196087921459718,-0.7312071364585151,-0.9446785350261759,-0.5214785657610719
